FECH;ORIGEN;CANTI;FOBDOL;FOBPES
2312;BOL;1356;8520;32986612
2312;BOL;729;5365;21404295
2312;BOL;12;87;336352
2312;BOL;17;124;480834
2312;BOL;1;15185;58789014
2312;BOL;440;2140;8449165
2312;BOL;1233;10161;40184315
2312;BOL;67;2285;9025853
2312;BOL;7;188;742543
2312;BOL;334;4455;17593784
2312;BOL;110;347;1373482
2312;BOL;246;1029;4070007
2312;BOL;25;490;1946827
2312;BOL;264;5673;22447405
2312;BOL;23;485;1920136
2312;BOL;27;569;2250130
2312;BOL;1586;33354;131960191
2312;BOL;194;362;1428108
2312;BOL;9;45;177171
2312;BOL;68;1418;5608945
2312;BOL;262;15668;61993408
2312;BOL;276;13540;53574689
2312;BOL;10;95;373177
2312;BOL;1;27;107545
2312;BOL;10;361;1428232
2312;BOL;888;116867;462415225
2312;BOL;319;7057;27632286
2312;BOL;32;1120;4431571
2312;BOL;367;5276;20848567
2312;BOL;292;6095;24115186
2312;BOL;1;36;143016
2312;BOL;117;2440;9653307
2312;BOL;16;1522;6014571
2312;BOL;2;36;142345
2312;BOL;5;278;1095917
2312;BOL;58;2073;8025709
2312;BOL;33;405;1600106
2312;BOL;518;3851;14718715
2312;BOL;25;2450;9910789
2312;BOL;20;15638;63259150
2312;BOL;21;2163;8749811
2312;BOL;1207;9358;37276190
2312;BOL;300;41661;159230425
2312;BOL;322;6133;24181814
2312;BOL;166;2867;11305456
2312;BOL;9;178;703634
2312;BOL;168;7077;27905691
2312;BOL;28;432;1702127
2312;BOL;1;2410;9502190
2312;BOL;100;2272;8958564
2312;BOL;8;341;1342838
2312;BOL;681;521853;2047628551
2312;BOL;132;2748;10759602
2312;BOL;20;354;1386062
2312;BOL;242;8712;34111226
2312;BOL;11230;92531;366032996
2312;BOL;210;8972;35481176
2312;BOL;779;19356;76320382
2312;BOL;15;390;1543335
2312;BOL;3244;20564;81260218
2312;BOL;56;200;787864
2312;BOL;463;1600;6265510
2312;BOL;155;886;3489929
2312;BOL;299;12018;47329465
2312;BOL;41;1029;4034470
2312;BOL;18;470;1880198
2312;BOL;4409;22325;88024948
2312;BOL;637;1887;7416984
2312;BOL;661;8612;33804060
2312;BOL;1322;5180;20656637
2312;BOL;49;572;2283440
2312;BOL;11;264;1035240
2312;BOL;4;336;1323534
2312;BOL;3;86;339626
2312;BOL;20;158;631746
2312;BOL;50;59;234280
2312;BRA;205;1142;4483229
2312;BRA;182500;7858;30894755
2312;BRA;31;63418;252563181
2312;BRA;38725;14824;59638053
2312;BRA;8100;963;3874351
2312;BRA;21675;7646;29221483
2312;BRA;41700;1460;5813407
2312;BRA;4300;1272;5054709
2312;BRA;31680;3168;12643108
2312;BRA;5496;23762;92508140
2312;BRA;474;158400;621841968
2312;BRA;26100;4327;16942849
2312;BRA;20;1992;7932264
2312;BRA;2088;8248;32626516
2312;BRA;78;213;843394
2312;BRA;2400;10311;40790661
2312;BRA;3518;10851;42926045
2312;BRA;34;1500;5965793
2312;BRA;1882;9598;38229039
2312;BRA;361000;40853;164360198
2312;BRA;584;24628;95346071
2312;BRA;2066;87128;337311696
2312;BRA;68;2510;9650166
2312;BRA;120;3120;12345091
2312;BRA;7;37503;149990623
2312;BRA;1536;5963;23545420
2312;BRA;2;160;638328
2312;BRA;28935;20541;81804254
2312;BRA;1;33;130900
2312;BRA;60;2592;10363058
2312;BRA;4;1546;6115790
2312;BRA;14;417;1646541
2312;BRA;53;1359;5377188
2312;BRA;7000;1249;4996058
2312;BRA;13;385;1522935
2312;BRA;4;1475;5708995
2312;BRA;1;3763;14885976
2312;BRA;19;168;664588
2312;BRA;5;1714;6780378
2312;BRA;2;536;2120352
2312;BRA;2;4693;18729200
2312;BRA;6;502;1985852
2312;BRA;2;214;846558
2312;BRA;4;14;55382
2312;BRA;2;42;166147
2312;BRA;6;408;1613171
2312;BRA;10;4418;17477078
2312;BRA;2;6;23735
2312;BRA;44;458;1811365
2312;BRA;2;60;237353
2312;BRA;4;408;1613999
2312;BRA;1;20000;79970200
2312;BRA;1;50;199158
2312;BRA;97;1075;4109468
2312;BRA;33;233;888627
2312;BRA;1;1206;4821913
2312;BRA;1;38191;152118729
2312;BRA;1;24456;97412116
2312;BRA;1;24456;97412116
2312;BRA;2;15446;61621353
2312;BRA;81;896;3424557
2312;BRA;33;233;888627
2312;BRA;500;1577;6105277
2312;BRA;2;259772;992861955
2312;BRA;22325;8596;34293111
2312;BRA;45;149;592448
2312;BRA;932;4219;16809408
2312;BRA;1842;10522;41929513
2312;BRA;2902;18069;71961624
2312;BRA;50;156;615972
2312;BRA;485;11776;46997920
2312;BRA;4;6737;25901870
2312;BRA;3;13986;53774243
2312;BRA;1;272;1075266
2312;BRA;974;4777;18903657
2312;BRA;1;138;543990
2312;BRA;1;338;1334607
2312;BRA;1;12;48764
2312;BRA;900;5769;22747340
2312;BRA;1;10916;43549928
2312;BRA;6;56;221917
2312;BRA;4;1008;4028739
2312;BRA;3;1207;4827121
2312;BRA;1;21;83409
2312;BRA;4;694;2774806
2312;BRA;292;8984;35923334
2312;BRA;1650;2833;11325780
2312;BRA;5;5001;19996708
2312;BRA;30;1582;6324043
2312;BRA;46;173;693422
2312;BRA;45;22713;90818517
2312;BRA;3266;25464;101817859
2312;BRA;402;4561;18238324
2312;BRA;36;10378;41498136
2312;BRA;5;5251;20996776
2312;BRA;62;5235;20933559
2312;BRA;1000;300;1180367
2312;BRA;119;147529;587628264
2312;BRA;24;85;337716
2312;BRA;584;2666;10617345
2312;BRA;96;298;1185192
2312;BRA;750;4245;16904916
2312;BRA;653;3797;15123146
2312;BRA;32;136;541620
2312;BRA;21;80;319874
2312;BRA;374;241337;945199873
2312;BRA;32;400;1582704
2312;BRA;2;32620;131237432
2312;BRA;196;355;1404650
2312;BRA;0;120;478829
2312;BRA;18;282;1103329
2312;BRA;5201;4218797;16559499733
2312;BRA;104173;981;3884787
2312;BGR;55;15054;60207419
2312;CMR;67;288;1151836
2312;CAN;40;56;223020
2312;CAN;45;17;68193
2312;CAN;16;23;90522
2312;CAN;82;1689;6790519
2312;CAN;172;4149;16410495
2312;CAN;1154;40906;162720635
2312;CAN;383;10412;41519576
2312;CAN;172;3536;14011670
2312;CAN;415;9799;38778717
2312;CAN;12;56;218996
2312;CAN;525;4094;16367901
2312;CAN;3201;25999;103955662
2312;CAN;12;102;410590
2312;CAN;43;991;3947501
2312;CAN;13;387;1518049
2312;CAN;25;333;1317500
2312;CAN;40;155;619300
2312;CAN;21;83;325626
2312;CAN;40;1901;7574870
2312;CAN;8;115;457186
2312;CAN;30;461;1844913
2312;CAN;41;621;2471748
2312;CAN;114;2084;8290286
2312;CAN;10;16;62812
2312;CAN;6;56;219843
2312;CAN;4245;2555;10114294
2312;CAN;15500;3410;13351616
2312;CAN;400;100;391543
2312;CAN;2000;440;1722789
2312;CAN;19;240;939703
2312;CAN;8357;1815;7233226
2312;CAN;964;1312;5196769
2312;CAN;4130;917;3628313
2312;CAN;16083;8836;35030769
2312;CAN;4456;960;3822662
2312;CAN;524;2836;11252939
2312;CAN;3096;25192;100734622
2312;CAN;1007;7330;29311497
2312;CAN;819;3174;12697314
2312;CAN;240;582;2329548
2312;CAN;1994;9728;38909125
2312;CAN;55;343;1372538
2312;CAN;2540;12551;50185381
2312;CAN;1439;7560;30210956
2312;CAN;16222;77312;308827382
2312;CAN;1098;10172;39829438
2312;CAN;2181;16592;64966381
2312;CAN;18;244;954973
2312;CAN;6;292;1142914
2312;CAN;1477;753;2957165
2312;CAN;25;252;989294
2312;CAN;22;2520;9999723
2312;CAN;2;140;548160
2312;CAN;35156;9904;39431915
2312;CAN;3800;692;2756260
2312;CAN;18344;2980;11878012
2312;CAN;4920;1174;4643654
2312;CAN;20976;7160;28486271
2312;CAN;600;198;791887
2312;CAN;7250;1121;4400788
2312;CAN;22175;3571;14016962
2312;CAN;12525;49215;194329212
2312;CAN;325;163;642974
2312;CAN;1244;1600;6355538
2312;CAN;3000;1238;4980734
2312;CAN;17840;2855;11345932
2312;CAN;115070;10810;42754230
2312;CAN;741;1325;5331156
2312;CAN;12716;65279;258288738
2312;CAN;174975;47471;186848822
2312;CAN;120006;18500;73692697
2312;CAN;135077;21067;83928084
