DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
2311;BOL;200;34400;139669160
2311;BOL;8;0;1009
2311;BOL;1321;8368;34445978
2311;BOL;56;635;2567662
2311;BOL;974;4420;17571249
2311;BOL;44;860;3419372
2311;BOL;48;686;2726594
2311;BOL;16;304;1225408
2311;BOL;10;216;872840
2311;BOL;522;3445;13932690
2311;BOL;17;466;1882098
2311;BOL;41;597;2368156
2311;BOL;35;648;2614081
2311;BOL;32;432;1778367
2311;BOL;9;158;648363
2311;BOL;1937;33126;134091155
2311;BOL;52;676;2675453
2311;BOL;204;3228;13000123
2311;BOL;61;1094;4414667
2311;BOL;173;2430;9890254
2311;BOL;38;748;2974242
2311;BOL;1455;18509;73597117
2311;BOL;285;7481;30090848
2311;BOL;152;2657;10718957
2311;BOL;80;767;3055641
2311;BOL;38;863;3428913
2311;BOL;24;1100;4528661
2311;BOL;8;108;430582
2311;BOL;2;12;48534
2311;BOL;6;2;6067
2311;BOL;40;6;24267
2311;BOL;4088;35495;143449012
2311;BOL;192;7484;30175578
2311;BOL;342;8788;35258766
2311;BOL;6;167;676857
2311;BOL;1592;14900;60202968
2311;BOL;40;137;552157
2311;BOL;21;100;402314
2311;BOL;1655;15879;64260198
2311;BOL;40;1817;7292178
2311;BOL;1;20;80976
2311;BOL;204;3098;12622356
2311;BOL;163;333;1357765
2311;BOL;353;6395;25930686
2311;BOL;186;777;3145060
2311;BOL;57;565;2301175
2311;BOL;38;937;3771760
2311;BOL;9;122;486958
2311;BOL;58;947;3850303
2311;BOL;15;485;1964113
2311;BOL;139;12361;49938335
2311;BOL;29;717;2862099
2311;BOL;30;965;3927125
2311;BOL;300;869;3579402
2311;BOL;165;104;426307
2311;BOL;189;2277;9120122
2311;BOL;6;104;416406
2311;BOL;4;1400;5764794
2311;BOL;1;600;2470626
2311;BOL;846;123085;487854309
2311;BOL;19;1284;5090096
2311;BOL;37;2597;10293589
2311;BOL;0;23;89379
2311;BOL;91;6326;25074852
2311;BOL;8;1360;5600086
2311;BOL;8;525;2082380
2311;BOL;10;1063;4375067
2311;BOL;835;695872;2790744524
2311;BOL;30000;6201;25526975
2311;BOL;115;2406;9599675
2311;BOL;1;18;71818
2311;BOL;202;7272;29014480
2311;BOL;6103;42828;173886277
2311;BOL;175;7703;31277325
2311;BOL;107;3189;12949239
2311;BOL;14;361;1467460
2311;BOL;2246;14444;58644847
2311;BOL;8;28;111735
2311;BOL;715;2501;10152689
2311;BOL;765;8480;34429057
2311;BOL;75;3777;15336486
2311;BOL;2;57;230332
2311;BOL;463;4864;19749057
2311;BOL;320;901;3660185
2311;BOL;616;10884;44191728
2311;BOL;719;3089;12543468
2311;BOL;25;290;1178337
2311;BOL;11;257;1044108
2311;BOL;168;960;3897703
2311;BOL;79;324;1317113
2311;BOL;20;158;642194
2311;BRA;24;27688;109582577
2311;BRA;1;26;106977
2311;BRA;52;78100;315877080
2311;BRA;35;2367;9572425
2311;BRA;4;670;2711116
2311;BRA;5;459;1856268
2311;BRA;75;9600;38448576
2311;BRA;5;274;1106836
2311;BRA;15;439;1777400
2311;BRA;1;416;1682476
2311;BRA;20;556;2250042
2311;BRA;10;186;750499
2311;BRA;14450;3672;14851441
2311;BRA;53850;22942;90930241
2311;BRA;16800;1848;7324677
2311;BRA;21100;7066;28501429
2311;BRA;15450;3625;14703939
2311;BRA;704;70;287052
2311;BRA;2880;288;1162711
2311;BRA;4548;17522;69682190
2311;BRA;50;840;3351308
2311;BRA;10;269;1085600
2311;BRA;34;473;1882817
2311;BRA;2;204;812057
2311;BRA;5;809;3266167
2311;BRA;1;500;2058855
2311;BRA;850;85;349910
2311;BRA;92;136649;554376753
2311;BRA;4;1786;7245167
2311;BRA;20;13193;53523859
2311;BRA;15;13024;52837587
2311;BRA;672;3563;14667410
2311;BRA;74;24090;95759918
2311;BRA;74;16352;65000672
2311;BRA;418;12374;49559614
2311;BRA;6;344;1415422
2311;BRA;130;4435;17630319
2311;BRA;10;17030;67400823
2311;BRA;1980;7584;30791366
2311;BRA;3810;15048;61097949
2311;BRA;4835;15536;63078247
2311;BRA;6150;2091;8489774
2311;BRA;2460;1667;6628065
2311;BRA;320;1552;6151461
2311;BRA;350;1554;6159388
2311;BRA;450;2550;10107104
2311;BRA;32;1884;7759742
2311;BRA;592;881;3558702
2311;BRA;100;774;3124785
2311;BRA;120;2280;9063205
2311;BRA;0;9;37259
2311;BRA;4;360;1432245
2311;BRA;30;308;1224056
2311;BRA;0;20;79932
2311;BRA;5;250;995168
2311;BRA;40;2167;8624758
2311;BRA;6;1861;7406196
2311;BRA;2;171;680376
2311;BRA;60;2372;9441353
2311;BRA;2;376;1497289
2311;BRA;1;448;1782862
2311;BRA;5;1395;5553433
2311;BRA;50;453;1803244
2311;BRA;51;802;3191383
2311;BRA;2;1663;6617943
2311;BRA;1;22;87097
2311;BRA;15;5608;22228850
2311;BRA;2;192;765164
2311;BRA;26;6751;26873065
2311;BRA;1;405;1610619
2311;BRA;38;1577;6276004
2311;BRA;1;174;692199
2311;BRA;3;193;768468
2311;BRA;2;193;769941
2311;BRA;92;2996;11955506
2311;BRA;8;2376;9480856
2311;BRA;6489;24188;96872389
2311;BRA;6645;35511;142222004
